Run Name,Motor Stop Time (s),OOD Detector Start Time (s),OOD Detector End Time (s),Image Capture Time (s),OOD Score
ET7,0.0,1614237273.218325,1614237273.584148,1614237273.221969,0.07255476713180542
ET7,0.0,1614237273.584148,1614237273.976326,1614237273.5549273,0.08496010303497314
ET7,0.0,1614237273.976326,1614237274.377668,1614237273.9570718,0.10227972269058228
ET7,1614237274.758597,1614237274.377668,1614237274.745372,1614237274.3571594,0.13446468114852905
ET8,0.0,0.0,1614237350.430923,1614237349.0512683,0.06470972299575806
ET8,0.0,1614237350.430923,1614237351.414002,1614237350.452251,0.06482052803039551
ET8,0.0,1614237351.414002,1614237351.964828,1614237351.4158971,0.06255227327346802
ET8,0.0,1614237351.964828,1614237352.271821,1614237351.951973,0.05956345796585083
ET8,0.0,1614237352.271821,1614237352.565146,1614237352.2477756,0.06896340847015381
ET8,0.0,1614237352.565146,1614237352.905876,1614237352.5509007,0.06762540340423584
ET8,0.0,1614237352.905876,1614237353.250423,1614237352.88288,0.0674627423286438
ET8,0.0,1614237353.250423,1614237353.751099,1614237353.2473311,0.10131818056106567
ET8,1614237354.595234,1614237353.751099,1614237354.548450,1614237353.7469049,0.14146840572357178
ET9,0.0,0.0,1614237437.227675,1614237435.7705116,0.057626545429229736
ET9,0.0,1614237437.227675,1614237438.007209,1614237437.2033086,0.05720043182373047
ET9,0.0,1614237438.007209,1614237438.483751,1614237437.9785392,0.07215577363967896
ET9,0.0,1614237438.483751,1614237438.794028,1614237438.4704943,0.08939093351364136
ET9,0.0,1614237438.794028,1614237439.170857,1614237438.771494,0.06633347272872925
ET9,0.0,1614237439.170857,1614237439.534626,1614237439.1702886,0.10189098119735718
ET9,1614237439.956194,1614237439.534626,1614237439.934666,1614237439.5357194,0.13092917203903198
ET10,0.0,0.0,1614237533.272692,1614237531.9238203,0.04397690296173096
ET10,0.0,1614237533.272692,1614237533.973594,1614237533.2864301,0.04386955499649048
ET10,0.0,1614237533.973594,1614237534.341808,1614237533.9547412,0.04318338632583618
ET10,0.0,1614237534.341808,1614237534.644044,1614237534.321114,0.06020653247833252
ET10,0.0,1614237534.644044,1614237535.006721,1614237534.6181743,0.06100970506668091
ET10,0.0,1614237535.006721,1614237535.352978,1614237534.987012,0.060785114765167236
ET10,0.0,1614237535.352978,1614237535.680120,1614237535.3544097,0.06547069549560547
ET10,0.0,1614237535.680120,1614237536.002995,1614237535.652524,0.07496953010559082
ET10,0.0,1614237536.002995,1614237536.336632,1614237535.9871767,0.06923097372055054
ET10,0.0,1614237536.336632,1614237536.630609,1614237536.3177629,0.10855072736740112
ET10,1614237537.124976,1614237536.630609,1614237537.104589,1614237536.6194642,0.16960537433624268
HT1,0.0,0.0,1614243342.630934,1614243341.7493098,0.05444645881652832
HT1,0.0,1614243342.630934,1614243343.039329,1614243342.6082816,0.05851489305496216
HT1,0.0,1614243343.039329,1614243343.353583,1614243343.0449855,0.0677526593208313
HT1,0.0,1614243343.353583,1614243343.688655,1614243343.3432693,0.0715760588645935
HT1,0.0,1614243343.688655,1614243344.008786,1614243343.6773183,0.05743664503097534
HT1,0.0,1614243344.008786,1614243344.399092,1614243344.0085537,0.056829631328582764
HT1,0.0,1614243344.399092,1614243345.039122,1614243344.3758476,0.0627334713935852
HT1,1614243345.909794,1614243345.039122,1614243345.892555,1614243345.042542,0.11156690120697021
HT2,0.0,0.0,1614243424.162667,1614243423.066602,0.05357038974761963
HT2,0.0,1614243424.162667,1614243425.193578,1614243424.135031,0.054171979427337646
HT2,0.0,1614243425.193578,1614243425.754440,1614243425.1988459,0.06846678256988525
HT2,0.0,1614243425.754440,1614243426.122302,1614243425.765121,0.06002384424209595
HT2,0.0,1614243426.122302,1614243426.719594,1614243426.0978537,0.07353687286376953
HT2,0.0,1614243426.719594,1614243427.466344,1614243426.69753,0.0653272271156311
HT2,1614243427.968106,1614243427.466344,1614243427.953783,1614243427.4668634,0.1199030876159668
HT3,0.0,0.0,1614243529.780241,1614243528.8109086,0.04928821325302124
HT3,0.0,1614243529.780241,1614243530.527568,1614243529.7818487,0.04996287822723389
HT3,0.0,1614243530.527568,1614243531.329570,1614243530.5101473,0.05116146802902222
HT3,0.0,1614243531.329570,1614243531.760544,1614243531.3457186,0.07335323095321655
HT3,0.0,1614243531.760544,1614243532.133855,1614243531.7461324,0.05887728929519653
HT3,0.0,1614243532.133855,1614243532.533455,1614243532.1130445,0.08381760120391846
HT3,1614243532.891249,1614243532.533455,1614243532.861876,1614243532.5086887,0.15279990434646606
HT4,0.0,0.0,1614243621.057843,1614243619.930644,0.05311495065689087
HT4,0.0,1614243621.057843,1614243621.717125,1614243621.0642173,0.051713407039642334
HT4,0.0,1614243621.717125,1614243622.053027,1614243621.696478,0.051890552043914795
HT4,0.0,1614243622.053027,1614243622.421611,1614243622.06359,0.040169358253479004
HT4,0.0,1614243622.421611,1614243622.813943,1614243622.4287534,0.048153042793273926
HT4,0.0,1614243622.813943,1614243623.281288,1614243622.7973151,0.08313506841659546
HT4,0.0,1614243623.281288,1614243623.876000,1614243623.2948189,0.06903773546218872
HT4,0.0,1614243623.876000,1614243624.672030,1614243623.8610802,0.09403401613235474
HT4,0.0,1614243624.672030,1614243625.382063,1614243624.6607087,0.09322965145111084
HT4,1614243626.274836,1614243625.382063,1614243626.241569,1614243625.3958669,0.25942063331604004
HT5,0.0,0.0,1614243721.726919,1614243720.846604,0.05288189649581909
HT5,0.0,1614243721.726919,1614243722.162464,1614243721.7428014,0.05236464738845825
HT5,0.0,1614243722.162464,1614243722.744698,1614243722.1461086,0.05721372365951538
HT5,0.0,1614243722.744698,1614243723.393887,1614243722.747276,0.05966353416442871
HT5,0.0,1614243723.393887,1614243723.829583,1614243723.3766923,0.05689430236816406
HT5,0.0,1614243723.829583,1614243724.166030,1614243723.808543,0.0918436050415039
HT5,0.0,1614243724.166030,1614243724.497747,1614243724.1418784,0.10734313726425171
HT5,1614243725.089334,1614243724.497747,1614243725.000516,1614243724.4760737,0.12064552307128906
HT6,0.0,0.0,1614243817.025179,1614243815.8605785,0.054439008235931396
HT6,0.0,1614243817.025179,1614243817.379261,1614243817.0273304,0.052989304065704346
HT6,0.0,1614243817.379261,1614243817.716191,1614243817.3629959,0.048735618591308594
HT6,0.0,1614243817.716191,1614243818.040683,1614243817.6943495,0.0674976110458374
HT6,0.0,1614243818.040683,1614243818.557357,1614243818.0267756,0.06634789705276489
HT6,0.0,1614243818.557357,1614243819.349018,1614243818.559584,0.08982950448989868
HT6,1614243820.058564,1614243819.349018,1614243820.046281,1614243819.358848,0.1648048758506775
HT7,0.0,0.0,1614243899.311023,1614243898.4520297,0.05710631608963013
HT7,0.0,1614243899.311023,1614243899.678161,1614243899.317686,0.058732569217681885
HT7,0.0,1614243899.678161,1614243900.048442,1614243899.6840856,0.036774635314941406
HT7,0.0,1614243900.048442,1614243900.642853,1614243900.0510066,0.04845148324966431
HT7,0.0,1614243900.642853,1614243901.414978,1614243900.6513512,0.07592552900314331
